name,fips,gfips,pop,Age0,Age5,Age10,Age15,Age20,Age25,Age30,Age35,Age40,Age45,Age50,Age55,Age60,Age65,Age70,Age75,Age80,Age85,Age90,Age95
Palisade town,56970,10856970,2565,109,108,148,141,127,129,160,178,178,143,134,193,192,213,139,104,67,66,24,12
Palmer Lake town,57025,10857025,2636,108,139,172,170,127,138,138,188,156,189,183,239,240,207,113,64,32,26,3,4
Paoli town,57245,10857245,51,0,2,0,3,4,2,4,0,0,2,13,2,3,8,2,1,1,2,2,0
Paonia town,57300,10857300,1447,66,88,74,83,33,67,82,93,78,85,70,119,103,144,110,72,40,24,11,5
Parachute town,57400,10857400,1390,130,120,107,114,108,145,114,78,79,65,79,62,67,51,44,11,4,4,4,4
Paragon Estates CDP,57445,10857445,975,26,43,60,48,44,26,30,21,54,50,91,94,117,101,52,48,40,28,2,0
Parker town,57630,10857630,58512,3660,4380,4978,4579,3286,3571,3992,4560,4632,5019,4216,3449,2732,1985,1484,987,541,277,126,58
Parshall CDP,57850,10857850,42,1,0,1,0,4,2,1,2,7,0,1,3,8,7,4,1,0,0,0,0
Peetz town,58235,10858235,213,15,13,16,10,10,11,16,12,11,8,8,18,28,11,9,5,11,1,0,0
Penrose CDP,58400,10858400,3685,164,192,183,217,142,156,199,211,187,209,258,331,330,333,263,170,94,34,12,0
Peoria CDP,58510,10858510,153,7,8,14,17,13,3,6,15,7,18,8,12,8,6,2,7,0,0,2,0
Perry Park CDP,58592,10858592,1932,54,72,85,90,74,68,54,80,79,137,186,201,187,229,158,99,58,14,5,2
Peyton CDP,58675,10858675,214,8,12,16,11,7,16,9,23,14,9,11,13,34,3,16,6,5,0,1,0
Piedra CDP,58960,10858960,31,1,0,1,1,0,0,0,0,0,1,1,3,3,12,3,2,3,0,0,0
Pierce town,59005,10859005,1097,69,89,108,72,40,82,88,78,72,59,66,63,68,65,31,21,14,6,3,3
Pine Brook Hill CDP,59240,10859240,975,47,29,60,52,25,28,36,58,70,90,71,61,76,82,79,84,17,8,0,2
Pitkin town,59830,10859830,72,3,3,4,2,0,1,3,6,3,2,6,3,8,11,10,3,2,1,1,0
Platteville town,60160,10860160,2955,187,203,275,240,160,208,229,212,192,193,173,180,166,115,89,68,42,15,7,1
Poncha Springs town,60600,10860600,925,48,56,53,39,29,60,64,59,63,56,53,45,83,82,71,20,27,15,1,1
Ponderosa Park CDP,60655,10860655,3334,152,149,215,235,162,103,138,165,164,224,294,349,353,275,201,84,39,24,7,1
Portland CDP,60765,10860765,136,6,6,9,3,2,4,5,7,1,7,10,17,23,11,16,5,3,1,0,0
Pritchett town,61315,10861315,112,11,7,7,10,5,11,2,12,6,3,3,11,8,9,4,1,2,0,0,0
Pueblo city,62000,10862000,111876,6167,6835,7379,7233,7086,7564,7365,7262,6625,6099,6270,7007,7695,6909,5556,3446,2492,1674,942,270
Pueblo West CDP,62220,10862220,33086,1759,2103,2549,2221,1554,1673,1928,2023,1949,2135,2180,2422,2340,2133,1873,1152,637,305,120,30
Ramah town,62660,10862660,111,5,4,2,2,5,7,2,2,9,9,10,6,10,12,8,10,4,2,0,2
Rangely town,62880,10862880,2299,145,161,197,240,179,126,150,164,143,105,96,135,168,100,68,52,37,25,8,0
Raymer (New Raymer) town,63045,10863045,110,4,13,12,11,3,3,6,8,10,5,5,3,4,12,3,1,3,1,3,0
Red Cliff town,63265,10863265,257,10,8,16,12,13,15,24,19,20,22,21,27,17,14,5,3,4,5,2,0
Red Feather Lakes CDP,63320,10863320,426,3,13,7,6,9,11,14,29,17,25,25,47,86,55,46,19,10,3,1,0
Redlands CDP,63375,10863375,9061,328,521,598,551,306,271,383,476,506,471,522,676,832,864,698,500,294,182,65,17
Redstone CDP,63650,10863650,127,5,6,6,10,4,5,12,12,10,4,9,6,5,5,18,10,0,0,0,0
Redvale CDP,63705,10863705,172,3,10,11,5,10,4,2,8,15,7,9,34,27,8,7,6,2,2,0,2
Rico town,64090,10864090,288,7,14,15,11,12,16,34,23,16,18,34,24,28,20,8,1,2,2,1,2
Ridgway town,64200,10864200,1183,36,66,79,62,32,51,65,110,76,102,74,82,98,112,78,39,12,5,3,1
Rifle city,64255,10864255,10437,858,824,859,813,742,772,754,843,692,580,585,546,515,381,246,171,111,63,59,23
Rock Creek Park CDP,64870,10864870,68,0,2,1,6,2,3,2,5,0,6,3,8,2,13,6,5,3,0,1,0
Rockvale town,64970,10864970,511,22,23,23,27,22,22,18,19,36,26,34,38,52,50,55,23,13,7,0,1
Rocky Ford city,65190,10865190,3876,195,265,264,268,176,215,242,236,212,204,204,282,264,278,198,142,117,68,38,8
Rollinsville CDP,65685,10865685,194,4,4,15,9,10,9,18,14,13,16,15,15,29,16,3,3,0,1,0,0
Romeo town,65740,10865740,302,21,26,22,18,21,15,21,17,17,14,21,15,18,26,13,3,11,2,0,1
Roxborough Park CDP,66197,10866197,9416,564,602,690,606,329,380,536,697,669,692,737,801,741,591,400,230,93,32,23,3
Rye town,66895,10866895,206,13,17,18,13,5,10,8,18,14,14,8,10,15,14,16,6,3,2,1,1
Saddle Ridge CDP,66995,10866995,66,7,1,2,7,1,1,3,0,2,0,8,13,5,8,6,1,1,0,0,0
Saguache town,67005,10867005,539,20,21,32,22,29,21,31,37,29,34,19,46,40,60,34,22,20,11,7,4
St. Ann Highlands CDP,67040,10867040,325,11,14,32,13,3,2,10,33,3,32,11,44,31,39,21,18,7,0,1,0
St. Mary's CDP,67142,10867142,333,17,11,15,18,11,14,26,16,23,23,29,36,33,31,14,8,7,1,0,0
Salida city,67280,10867280,5666,240,252,284,251,183,282,367,388,378,362,371,420,457,481,392,210,157,115,49,27
San Luis town,68105,10868105,598,30,26,44,41,30,32,28,29,33,39,33,37,48,39,38,33,19,11,7,1
Salt Creek CDP,67445,10867445,507,20,16,23,31,29,17,21,36,34,22,31,44,52,42,24,28,20,15,2,0
San Acacio CDP,67500,10867500,56,1,3,1,4,9,4,1,4,3,2,4,3,5,3,5,2,1,0,1,0
Sanford town,67830,10867830,879,59,87,93,68,40,34,45,59,46,54,41,50,57,43,42,34,16,9,1,1
Sawpit town,68655,10868655,38,3,0,2,2,1,2,4,5,1,4,2,0,3,3,1,1,0,2,0,2
Security-Widefield CDP,68847,10868847,38639,2764,2706,2916,2689,2342,3125,3166,2816,2312,2162,2048,2425,2291,1709,1245,752,618,360,153,40
Sedalia CDP,68875,10868875,177,10,9,6,13,7,9,2,7,9,13,12,14,13,7,23,12,9,1,0,1
Sedgwick town,68930,10868930,172,7,8,14,8,4,9,12,15,9,3,10,16,20,19,9,3,5,0,1,0
Segundo CDP,68985,10868985,100,1,6,5,5,6,3,4,10,3,3,1,12,14,6,11,6,3,0,0,1
Seibert town,69040,10869040,172,5,2,16,11,2,8,10,11,6,9,13,9,22,20,9,7,5,6,1,0
Seven Hills CDP,69110,10869110,129,4,3,10,8,2,6,3,4,12,9,1,26,23,6,11,0,1,0,0,0
Severance town,69150,10869150,7683,674,695,723,459,348,562,740,722,608,454,379,351,353,266,188,98,38,18,6,1
Shaw Heights CDP,69480,10869480,5185,308,262,340,376,359,369,433,412,340,288,257,319,324,255,209,131,117,54,24,8
Sheridan city,69645,10869645,6105,307,322,425,420,417,550,518,504,377,330,299,398,391,308,221,128,100,62,20,8
Sheridan Lake town,69700,10869700,55,4,4,1,8,4,1,4,4,1,5,4,3,5,3,1,2,0,1,0,0
Sherrelwood CDP,69810,10869810,19228,1178,1254,1481,1500,1428,1464,1628,1448,1295,1138,1032,1139,951,753,557,396,321,167,81,17
Silt town,70195,10870195,3536,255,319,317,300,193,243,248,311,283,241,190,180,171,121,81,53,25,4,1,0
Silver Cliff town,70250,10870250,609,33,34,33,25,39,29,18,48,32,27,39,40,53,51,47,27,12,14,4,4
Silver Plume town,70360,10870360,207,10,12,8,5,8,20,20,18,7,15,16,16,10,14,13,9,1,2,2,1
Silverthorne town,70525,10870525,4402,246,271,265,234,191,340,336,350,295,348,279,292,321,295,194,94,40,7,4,0
Silverton town,70580,10870580,622,16,34,20,23,19,51,50,53,36,34,43,43,54,47,48,33,10,4,1,3
Simla town,70635,10870635,601,23,44,41,63,33,43,40,19,34,42,27,45,38,30,20,26,16,14,1,2
Smeltertown CDP,71625,10871625,88,2,5,4,5,0,7,8,4,1,6,2,5,12,11,7,5,0,4,0,0
Snowmass Village town,71755,10871755,3096,102,148,198,147,149,255,225,253,205,243,211,201,209,221,157,105,42,13,12,0
Snyder CDP,71790,10871790,136,9,12,5,6,2,4,18,9,8,7,12,11,10,11,7,3,0,2,0,0
Southern Ute CDP,72320,10872320,158,8,7,17,9,5,11,7,11,4,6,15,6,13,13,4,6,15,0,1,0
South Fork town,72395,10872395,510,20,25,9,16,14,20,30,30,22,11,25,44,59,66,55,29,22,6,3,4
Springfield town,73330,10873330,1325,65,75,89,68,73,72,85,83,61,63,68,93,92,96,86,58,50,30,12,6
Starkville town,73715,10873715,62,0,2,4,4,4,0,1,5,1,5,5,7,4,5,7,3,3,0,0,2
Steamboat Springs city,73825,10873825,13224,536,620,824,774,772,1032,1051,975,973,938,902,857,902,840,627,290,145,99,47,20
Sterling city,73935,10873935,13735,703,648,672,881,1025,1242,1140,1158,856,784,715,836,827,788,506,340,274,197,113,30
Stonegate CDP,74080,10874080,9072,565,685,820,790,406,359,515,660,723,802,697,677,519,331,271,116,84,28,23,1
Stonewall Gap CDP,74275,10874275,66,4,2,2,1,1,1,3,0,4,1,3,5,4,14,9,8,3,1,0,0
Strasburg CDP,74375,10874375,3307,215,263,231,247,175,171,234,250,239,200,210,205,227,158,116,69,65,28,3,1
Stratmoor CDP,74430,10874430,6518,489,494,475,458,496,561,540,465,370,327,316,342,376,266,229,117,100,72,19,6
Stratton town,74485,10874485,656,45,44,59,35,23,36,44,49,41,35,37,31,49,47,39,18,12,7,5,0
Sugar City town,74815,10874815,259,12,6,13,17,14,6,5,13,16,19,9,24,36,23,23,8,4,6,3,2
Sugarloaf CDP,74980,10874980,274,4,16,11,5,11,2,28,19,26,13,20,19,24,35,15,18,4,2,2,0
Sunshine CDP,75585,10875585,198,3,10,15,1,1,2,7,12,21,17,17,19,16,18,24,6,1,4,4,0
Superior town,75640,10875640,13094,613,870,1138,1045,830,861,866,929,964,1153,1153,1018,669,429,293,147,76,29,6,5
Swink town,75970,10875970,604,26,33,34,48,32,20,42,31,38,43,31,52,41,52,35,26,13,4,2,1
Tabernash CDP,76190,10876190,401,18,29,11,22,22,13,28,17,43,56,24,45,39,10,11,10,2,1,0,0
Tall Timber CDP,76325,10876325,185,4,8,7,11,8,24,5,16,12,13,12,13,15,13,8,7,7,2,0,0
Telluride town,76795,10876795,2607,101,118,151,125,151,284,267,182,194,201,209,175,161,106,110,47,14,6,2,3
The Pinery CDP,77235,10877235,11311,475,682,928,930,485,321,389,538,701,908,927,1038,962,783,647,318,156,96,22,5
Thornton city,77290,10877290,141867,9044,10207,11077,10435,9139,10523,11438,11309,10407,9577,8528,7877,7035,5862,4404,2527,1361,728,309,80
Timnath town,77510,10877510,6487,489,704,700,483,224,171,399,635,592,542,343,317,292,252,180,96,34,19,10,5
Todd Creek CDP,77757,10877757,5028,228,313,358,371,247,150,196,273,369,435,459,470,459,299,201,116,35,29,14,6
Towaoc CDP,78280,10878280,1120,100,133,110,73,71,97,90,61,57,60,67,56,82,19,13,15,10,5,1,0
Towner CDP,78335,10878335,18,2,1,0,0,1,1,0,2,5,0,1,0,1,0,1,2,1,0,0,0
Trail Side CDP,78345,10878345,157,9,24,14,9,10,5,18,13,3,5,15,8,10,0,7,2,5,0,0,0
Campo town,11645,10811645,103,6,2,9,13,5,8,3,7,4,6,3,5,8,10,4,4,2,3,1,0
Burlington city,10600,10810600,3172,243,226,243,193,187,225,206,210,168,169,159,194,193,147,127,104,84,55,32,7
Byers CDP,10985,10810985,1322,64,97,102,80,88,62,84,97,66,86,89,95,94,79,61,44,18,13,3,0
Calhan town,11260,10811260,762,55,46,45,45,45,46,51,33,42,52,55,52,41,49,41,32,17,9,4,2
Cañon City city,11810,10811810,17141,805,891,968,957,792,958,1105,1090,924,966,941,1202,1210,1246,1114,826,559,357,177,53
Capulin CDP,11975,10811975,134,7,15,4,5,8,9,2,5,3,7,8,13,15,11,10,3,4,5,0,0
Carbondale town,12045,10812045,6434,330,415,460,369,306,503,527,526,517,454,389,345,332,297,289,147,89,79,45,15
Cascade-Chipita Park CDP,12325,10812325,1628,59,82,70,69,48,58,90,109,66,108,95,170,158,176,130,73,39,20,6,2
Castle Pines CDP,12387,10812387,11036,426,656,1096,1131,480,281,308,517,712,1019,1109,931,703,538,507,318,183,81,25,15
Castle Rock town,12415,10812415,73158,4904,5745,6323,5532,3445,4104,5037,5825,5677,5806,5041,4299,3512,2865,2321,1422,714,353,161,72
Cathedral CDP,12450,10812450,15,0,1,0,0,2,0,0,2,1,2,0,4,0,0,1,0,2,0,0,0
Catherine CDP,12460,10812460,235,12,17,11,22,4,13,6,34,14,9,37,9,24,7,8,8,0,0,0,0
Cattle Creek CDP,12470,10812470,662,32,62,54,47,50,35,34,65,56,40,26,60,31,27,18,16,7,0,2,0
Cedaredge town,12635,10812635,2279,84,111,122,119,81,84,92,84,110,94,103,171,173,275,221,158,116,57,16,8
Centennial city,12815,10812815,108418,5562,6830,7786,7213,5150,5948,6731,7749,7487,7480,7078,7274,7348,6309,5264,3333,1881,1230,569,196
Center town,12855,10812855,1929,141,153,168,164,94,133,117,113,95,97,126,140,127,92,73,48,24,17,6,1
Central City city,12910,10812910,779,20,31,34,34,48,49,57,48,53,72,47,84,68,55,44,15,13,6,0,1
Chacra CDP,12945,10812945,331,17,19,22,22,17,7,19,16,27,24,21,33,45,19,12,7,3,1,0,0
Cheraw town,13460,10813460,237,16,18,12,13,15,8,11,10,15,21,14,10,24,22,12,10,4,2,0,0
Cherry Creek CDP,13590,10813590,11488,501,874,1040,924,584,599,540,680,909,931,843,671,722,662,514,232,123,84,39,16
Cherry Hills Village city,13845,10813845,6442,270,492,651,661,245,133,119,250,363,551,492,476,453,407,367,230,159,75,31,17
Cheyenne Wells town,14175,10814175,758,27,47,52,35,38,37,49,36,37,35,38,68,67,75,37,19,25,12,17,7
Cimarron Hills CDP,14587,10814587,19311,1408,1402,1402,1158,1320,1752,1788,1481,1243,1133,1013,1116,1012,794,606,348,199,102,27,7
City of Creede town,14765,10814765,257,7,6,4,3,9,13,21,24,3,20,18,18,31,31,20,6,16,1,3,3
Clifton CDP,15165,10815165,20413,1349,1433,1633,1386,1372,1550,1435,1488,1217,1069,961,1286,1322,1089,762,490,309,161,82,19
Coal Creek CDP,15302,10815302,2494,76,105,120,92,57,101,184,174,183,229,216,279,249,216,106,50,30,17,6,4
Coal Creek town,15330,10815330,364,15,17,25,20,17,12,16,31,23,17,24,28,31,33,30,13,7,2,1,2
Coaldale CDP,15440,10815440,343,10,6,13,8,10,11,12,22,12,16,10,26,44,59,59,9,12,2,2,0
Cokedale town,15550,10815550,127,3,7,6,8,4,6,6,9,7,8,5,11,11,8,13,4,3,2,1,5
Collbran town,15605,10815605,369,14,16,20,25,22,15,16,17,21,24,22,49,25,32,18,25,4,3,1,0
Colona CDP,15825,10815825,36,0,3,2,1,1,0,1,5,0,8,3,0,6,0,3,2,1,0,0,0
Colorado City CDP,15935,10815935,2237,104,124,136,149,73,104,86,122,114,141,125,169,198,219,141,110,70,40,10,2
Colorado Springs city,16000,10816000,478961,28105,29914,30934,30258,36359,39624,37405,34213,29050,27343,26930,30026,28472,23861,18864,12026,7782,4945,2171,679
Columbine CDP,16110,10816110,25229,1250,1468,1631,1597,1038,1135,1506,1714,1573,1643,1593,1787,1859,1694,1368,995,651,430,234,63
Columbine Valley town,16385,10816385,1502,56,104,118,86,63,25,24,85,74,105,97,94,137,113,149,71,55,33,11,2
Comanche Creek CDP,16465,10816465,442,24,18,42,41,9,11,18,27,36,22,55,34,40,22,25,10,3,4,1,0
Commerce City city,16495,10816495,62418,4914,5354,5598,4783,3620,4407,5286,5681,5001,4148,3358,2832,2556,2005,1341,738,442,226,90,38
Conejos CDP,16715,10816715,46,1,2,0,4,2,3,0,2,4,2,1,6,3,8,3,3,2,0,0,0
Copper Mountain CDP,17150,10817150,650,10,12,17,33,113,121,69,59,55,31,32,21,24,25,18,3,2,5,0,0
Cortez city,17375,10817375,8766,498,654,592,507,442,576,639,565,459,466,428,510,561,613,427,323,208,166,98,34
Cotopaxi CDP,17485,10817485,44,2,0,0,4,1,1,1,2,3,1,0,1,10,8,0,5,0,2,3,0
Craig city,17760,10817760,9060,581,648,709,626,511,642,668,626,566,480,488,548,609,498,344,235,129,90,50,12
Crawford town,17925,10817925,403,19,19,26,26,16,24,25,20,24,26,27,23,25,44,22,26,7,3,0,1
Crested Butte town,18310,10818310,1639,35,75,99,83,82,153,169,137,124,144,169,114,83,75,54,32,8,3,0,0
Crestone town,18420,10818420,141,6,7,4,10,6,2,9,7,12,10,4,10,9,21,12,7,2,2,0,1
Cripple Creek city,18530,10818530,1155,43,49,45,50,58,80,68,76,63,76,83,94,100,109,77,40,21,17,2,4
Crisman CDP,18585,10818585,179,4,10,3,5,5,9,18,13,10,7,3,9,21,35,10,2,13,1,0,1
Crook town,18640,10818640,133,7,5,10,11,5,5,12,9,6,5,9,8,12,12,8,7,0,0,1,1
Crowley town,18750,10818750,166,9,6,7,10,5,6,4,10,11,12,14,17,13,15,12,5,5,2,3,0
Dacono city,19080,10819080,6297,491,513,458,385,347,456,588,529,438,379,367,389,318,255,180,109,50,29,14,2
Dakota Ridge CDP,19150,10819150,33892,1704,1954,2275,2087,1818,2060,2390,2575,2314,2339,2276,2710,2338,1958,1427,874,476,210,84,23
Delta city,19850,10819850,9035,520,635,644,574,488,550,528,509,468,459,509,562,622,553,467,367,263,179,96,42
De Beque town,19355,10819355,493,34,34,39,27,24,45,33,35,18,25,28,44,38,23,23,18,1,1,1,2
Deer Trail town,19630,10819630,1068,99,98,68,65,58,92,98,71,65,45,67,52,76,44,23,17,16,7,4,3
Del Norte town,19795,10819795,1458,72,88,84,86,56,76,95,74,100,77,92,103,104,117,95,62,31,27,8,11
Denver city,20000,10820000,715522,38401,37249,37714,35611,50339,88813,82655,64272,48817,41899,36916,34373,32705,29533,23490,14274,8863,5550,3027,1021
Derby CDP,20275,10820275,8407,583,658,808,751,628,605,571,620,531,479,477,446,396,323,220,134,94,62,17,4
Dillon town,20440,10820440,1064,40,36,46,43,65,99,104,77,67,58,75,79,95,62,61,30,21,4,0,2
Dinosaur town,20495,10820495,243,10,10,14,12,7,12,14,14,12,8,15,26,28,23,16,14,4,2,1,1
Divide CDP,20605,10820605,143,5,6,7,12,2,7,9,11,1,3,28,4,26,14,3,5,0,0,0,0
Dolores town,20770,10820770,885,49,38,57,64,37,60,47,68,44,57,73,61,54,56,56,29,17,4,11,3
Dotsero CDP,21155,10821155,1172,90,118,104,125,74,99,79,90,114,78,73,51,33,14,19,6,3,1,0,1
Dove Creek town,21265,10821265,635,43,31,32,40,28,26,26,34,38,35,40,35,65,53,35,29,19,18,5,3
Dove Valley CDP,21330,10821330,5640,424,410,418,350,354,703,658,568,442,356,269,221,187,107,92,53,14,10,4,0
Downieville-Lawson-Dumont CDP,21390,10821390,527,27,12,34,19,13,28,32,26,59,41,40,38,41,50,33,18,9,5,0,2
Durango city,22035,10822035,19071,719,830,920,1221,2732,1487,1509,1420,1167,1145,971,938,1124,1004,807,493,243,196,113,32
Eads town,22145,10822145,672,55,44,49,28,24,40,37,37,38,29,24,51,70,41,49,24,11,9,3,9
Eagle town,22200,10822200,7511,435,581,717,566,318,338,476,624,686,673,567,443,359,330,193,108,53,24,16,4
East Pleasant View CDP,22575,10822575,333,14,9,25,6,29,26,22,28,20,19,29,21,26,24,9,12,9,2,3,0
Eaton town,22860,10822860,5802,396,453,478,411,271,323,434,450,356,334,311,329,329,311,286,163,96,50,16,5
Eckley town,23025,10823025,232,17,6,24,20,8,12,22,13,5,13,16,17,28,8,5,4,7,5,2,0
Edgewater city,23135,10823135,5005,275,226,223,218,306,596,739,482,388,270,237,295,255,189,121,95,53,23,12,2
Edwards CDP,23300,10823300,11246,518,671,851,839,602,634,780,872,846,861,866,713,687,634,479,252,86,42,10,3
Elbert CDP,23520,10823520,188,13,14,5,13,10,14,17,4,15,15,11,9,14,14,13,5,2,0,0,0
Eldora CDP,23575,10823575,140,1,5,4,3,3,9,10,10,10,7,20,11,21,16,3,4,0,2,1,0
Eldorado Springs CDP,23630,10823630,559,14,17,35,34,19,27,38,27,32,31,35,48,47,54,61,22,13,3,2,0
